ticker,as_of,last
ACB,2026-08-13 14:19,22350
ANV,2026-08-13 14:17,17800
BAF,2026-08-13 14:19,31300
BCM,2026-08-13 14:19,45800
BID,2026-08-13 14:19,38950
BMP,2026-08-13 14:16,148600
BSI,2026-08-13 14:19,28550
BSR,2026-08-13 14:19,26600
BVH,2026-08-13 14:19,66700
BWE,2026-08-13 14:16,44400
CII,2026-08-13 14:19,14000
CMG,2026-08-13 14:19,24500
CTD,2026-08-13 14:19,62600
CTG,2026-08-13 14:19,32300
CTR,2026-08-13 14:19,75600
CTS,2026-08-13 14:18,22950
DBC,2026-08-13 14:19,16600
DCM,2026-08-13 14:19,30900
DGW,2026-08-13 14:19,43200
DIG,2026-08-13 14:19,10850
DPM,2026-08-13 14:19,21950
DSE,2026-08-13 14:10,22550
DXG,2026-08-13 14:19,11000
EIB,2026-08-13 14:19,17700
EVF,2026-08-13 14:19,12700
F88,2026-08-13 14:19,66600
FPT,2026-08-13 14:19,69700
FRT,2026-08-13 14:19,145600
FTS,2026-08-13 14:19,22250
GAS,2026-08-13 14:19,78400
GEE,2026-08-13 14:19,72300
GEX,2026-08-13 14:19,26150
GMD,2026-08-13 14:19,79700
GVR,2026-08-13 14:19,32500
HAG,2026-08-13 14:19,14100
HCM,2026-08-13 14:19,26000
HDB,2026-08-13 14:19,26900
HDG,2026-08-13 14:19,16450
HHV,2026-08-13 14:19,10200
HPG,2026-08-13 14:19,21750
HSG,2026-08-13 14:19,10750
HT1,2026-08-13 14:19,13150
KBC,2026-08-13 14:19,27500
KDC,2026-08-13 14:19,51600
KDH,2026-08-13 14:19,17750
KOS,2026-08-13 14:00,35000
LPB,2026-08-13 14:19,53400
MBB,2026-08-13 14:19,20200
MCH,2026-08-13 14:19,136400
MSB,2026-08-13 14:19,16050
MSN,2026-08-13 14:19,67600
MSR,2026-08-13 14:19,39900
MWG,2026-08-13 14:19,73400
NAB,2026-08-13 14:19,11800
NKG,2026-08-13 14:19,11000
NLG,2026-08-13 14:19,22650
NT2,2026-08-13 14:18,21550
NVL,2026-08-13 14:19,13550
OCB,2026-08-13 14:19,10900
PAN,2026-08-13 14:19,20350
PC1,2026-08-13 14:19,20550
PDR,2026-08-13 14:19,11900
PHR,2026-08-13 14:17,58900
PLX,2026-08-13 14:19,36200
PNJ,2026-08-13 14:19,35300
POW,2026-08-13 14:19,13550
PVD,2026-08-13 14:19,18450
PVT,2026-08-13 14:19,20350
REE,2026-08-13 14:18,47000
SAB,2026-08-13 14:19,45950
SBT,2026-08-13 14:19,22750
SHB,2026-08-13 14:19,11750
SIP,2026-08-13 14:15,50900
SJS,2026-08-13 14:01,46500
SSB,2026-08-13 14:19,15250
SSI,2026-08-13 14:19,25150
STB,2026-08-13 14:19,73400
TAL,2026-08-13 14:18,24150
TCB,2026-08-13 14:19,31650
TCH,2026-08-13 14:19,11950
TCX,2026-08-13 14:19,40400
TPB,2026-08-13 14:19,14550
VCB,2026-08-13 14:19,59500
VCG,2026-08-13 14:19,15850
VCI,2026-08-13 14:19,21950
VCK,2026-08-13 14:19,30100
VGC,2026-08-13 14:19,40850
VHC,2026-08-13 14:19,55500
VHM,2026-08-13 14:19,72100
VIB,2026-08-13 14:19,14550
VIC,2026-08-13 14:19,209300
VIX,2026-08-13 14:19,14000
VJC,2026-08-13 14:19,124900
VND,2026-08-13 14:19,16700
VNM,2026-08-13 14:19,62100
VPB,2026-08-13 14:19,25350
VPI,2026-08-13 14:17,60000
VPL,2026-08-13 14:18,77500
VPX,2026-08-13 14:19,25350
VRE,2026-08-13 14:19,24850
VSC,2026-08-13 14:19,14600
VTP,2026-08-13 14:18,54200
