ticker,company_name,exchange,icb_l2,group,close_raw,outstanding_shares,free_float,free_float_ratio,float_cap,market_cap_vendor,mcap_gap,sessions_21,value_21,adv_21,turnover_21_pct,fol_limit,adj_factor
ACB,Asia Commercial Bank,HOSE,Banks,Banks - Private,22050,5804421957,4933758663,0.8499999999,1.087893785e+14,1.279875042e+14,0,21,3.674522459e+12,1.7497726e+11,0.1608403893,,1
ANV,Nam Viet,HOSE,Food & Beverage,Food - Agriculture,15650,266255750,79876725,0.3,1.250070746e+12,4.166902488e+12,0,21,1.777161678e+11,8462674657,0.6769756578,,1
BAF,BAF Vietnam Agriculture,HOSE,Food & Beverage,Food - Agriculture,32050,364824906,255377434,0.6999999995,8.18484676e+12,1.169263824e+13,0,21,1.866417169e+12,8.887700807e+10,1.085872597,,1
BCM,Becamex Group,HOSE,Real Estate,Real Estate - Industrial,38850,1035000000,41400000,0.04,1.60839e+12,4.020975e+13,0,21,9.482566851e+11,4.515508024e+10,2.80747084,,1
BID,BIDV,HOSE,Banks,Banks - State,35600,7778229473,466693768,0.05999999995,1.661429814e+13,2.769049692e+14,0,21,2.795668671e+12,1.331270796e+11,0.8012801891,,1
BMP,Binh Minh Plastics,HOSE,Construction & Materials,Building Materials,140300,81860938,36837422,0.4499999988,5.168290307e+12,1.14850896e+13,0,21,2.126181644e+11,1.01246745e+10,0.1958998797,,1
BSI,BIDV Securities,HOSE,Financial Services,Financial Services,26800,269901549,37786216,0.1399999968,1.012670589e+12,7.233361513e+12,0,21,2.287550005e+11,1.089309526e+10,1.075680027,,1
BSR,PetroVietnam Refining and Petrochemical,HOSE,Oil & Gas,Oil & Gas,27550,5007299686,400583974,0.07999999982,1.103608848e+13,1.379511063e+14,0,21,5.566087851e+12,2.650518024e+11,2.401682469,,1
BVH,Bao Viet Group,HOSE,Insurance,Insurance,64000,742322764,74232276,0.09999999946,4.750865664e+12,4.75086569e+13,0,21,6.050781409e+11,2.88132448e+10,0.6064840987,,1
BWE,Binh Duong Water Environment,HOSE,Utilities,Utilities,41650,251347021,62836755,0.249999999,2.617150846e+12,1.046860342e+13,0,21,3.774692745e+10,1797472736,0.06868051716,,1
CII,Ho Chi Minh Infrastructure,HOSE,Construction & Materials,Construction Contractors,13250,671985291,638386026,0.9499999993,8.458614844e+12,8.903805106e+12,0,21,2.933308293e+12,1.396813473e+11,1.651350131,,1
CMG,CMC Corporation,HOSE,Technology,Technology,23350,232891908,93156763,0.3999999991,2.175210416e+12,5.438026052e+12,0,21,6.746443905e+10,3212592336,0.1476911067,,1
CTD,COTECCONS construction,HOSE,Construction & Materials,Construction Contractors,58000,111823220,61502771,0.55,3.567160718e+12,6.48574676e+12,0,21,3.299402067e+11,1.571143841e+10,0.4404466088,,1
CTG,VietinBank,HOSE,Banks,Banks - State,29950,7766944637,1165041695,0.1499999999,3.489299877e+13,2.326199919e+14,0,21,4.93141668e+12,2.348293657e+11,0.6729985213,,1
CTR,Viettel Construction,HOSE,Construction & Materials,Construction Contractors,74000,128109533,44838336,0.3499999957,3.318036864e+12,9.480105442e+12,0,21,4.284194884e+11,2.040092802e+10,0.6148493478,,1
CTS,Vietinbank Securities,HOSE,Financial Services,Financial Services,21500,272244939,68061234,0.2499999972,1.463316531e+12,5.853266188e+12,0,21,8.041352096e+11,3.829215284e+10,2.616805867,,1
DBC,DABACO,HOSE,Food & Beverage,Food - Agriculture,16000,431046499,301732549,0.6999999993,4.827720784e+12,6.896743984e+12,0,21,9.327769051e+11,4.441794786e+10,0.9200604146,,1
DCM,PetroVietnam Camau Fertilizer,HOSE,Chemicals,Chemicals,32500,529400000,132350000,0.25,4.301375e+12,1.72055e+13,0,21,1.999771074e+12,9.522719402e+10,2.213877981,,1
DGW,Digiworld Corp.,HOSE,Retail,Consumer Retail,44400,223361000,122848550,0.55,5.45447562e+12,9.9172284e+12,0,21,1.724948153e+12,8.214038826e+10,1.505926398,,1
DIG,DIC Corp,HOSE,Real Estate,Real Estate - Residential,10050,844217062,802006208,0.9499999989,8.06016239e+12,8.484381473e+12,0,21,1.468696472e+12,6.993792726e+10,0.8676987369,,1
DPM,Petrovietnam Fertilizer and Chemicals,HOSE,Chemicals,Chemicals,22400,679925021,271970008,0.3999999994,6.092128179e+12,1.523032047e+13,0,21,1.393631477e+12,6.636340367e+10,1.08933039,,1
DSE,DNSE Securities,HOSE,Financial Services,Financial Services,21800,428249806,149887432,0.3499999998,3.267546018e+12,9.335845771e+12,0,21,2.595888243e+11,1.236137259e+10,0.3783075286,,1
DXG,Bluemarq Group,HOSE,Real Estate,Real Estate - Residential,10750,1268104965,1014483972,0.8,1.09057027e+13,1.363212837e+13,0,21,2.865965249e+12,1.364745357e+11,1.251405246,,1
EIB,Eximbank,HOSE,Banks,Banks - Private,16800,1862720607,1490176485,0.7999999997,2.503496495e+13,3.12937062e+13,0,21,2.671447774e+12,1.272117988e+11,0.5081365164,,1
EVF,EVN General Finance,HOSE,Financial Services,Financial Services,11700,760565802,722537511,0.9499999988,8.453688879e+12,8.898619883e+12,0,21,4.46324375e+11,2.125354167e+10,0.2514114486,,1
FPT,FPT Corp,HOSE,Technology,Technology,72700,1714326422,1457177458,0.8499999996,1.059368012e+14,1.246315309e+14,0,21,1.149000839e+13,5.471432567e+11,0.5164808174,,1
FRT,FPT Retail,HOSE,Retail,Consumer Retail,137000,178815054,98348279,0.5499999961,1.347371422e+13,2.44976624e+13,0,21,2.167212796e+12,1.032006094e+11,0.7659403164,,1
FTS,FPT Securities,HOSE,Financial Services,Financial Services,20550,381145750,152458300,0.4,3.133018065e+12,7.832545162e+12,0,21,4.116071157e+11,1.960033884e+10,0.6256056759,,1
GAS,PetroVietnam Gas,HOSE,Utilities,Utilities,82900,2412949756,120647487,0.04999999967,1.000167667e+13,2.000335348e+14,0,21,2.911317832e+12,1.386341825e+11,1.38610942,,1
GEE,GELEX Electricity,HOSE,Industrial Goods & Services,Industrial,62000,640499211,89669889,0.1399999992,5.559533118e+12,3.971095108e+13,0,21,2.086036341e+12,9.933506386e+10,1.786751904,,1
GEX,Gelex Group JSC,HOSE,Industrial Goods & Services,Industrial,23950,1308471358,915929950,0.6999999995,2.19365223e+13,3.133788902e+13,0,21,6.081432053e+12,2.895920025e+11,1.32013634,,1
GMD,Gemadept Group,HOSE,Industrial Goods & Services,Logistics,74600,432892509,411247883,0.9499999987,3.067909207e+13,3.229378117e+13,0,21,3.206901197e+12,1.527095808e+11,0.4977643421,,1
GVR,Viet Nam Rubber Group,HOSE,Chemicals,Chemicals,30000,4000000000,160000000,0.04,4.8e+12,1.2e+14,0,21,1.698988635e+12,8.090422072e+10,1.685504598,,1
HAG,HAGL Joint Stock Company,HOSE,Food & Beverage,Food - Agriculture,13600,1267399283,633699641,0.4999999996,8.618315118e+12,1.723663025e+13,0,21,5.991840978e+11,2.853257608e+10,0.3310690743,,1
HCM,HSC Securities,HOSE,Financial Services,Financial Services,25500,1349945838,742470210,0.5499999993,1.893299036e+13,3.442361887e+13,0,21,4.513801819e+12,2.149429438e+11,1.135282593,,1
HDB,HDBank,HOSE,Banks,Banks - Private,26800,5005276323,4004221058,0.7999999999,1.073131244e+14,1.341414055e+14,0,21,9.376858457e+12,4.465170694e+11,0.416088034,,1
HDG,HA DO Construction,HOSE,Real Estate,Real Estate - Residential,15950,406957333,244174399,0.599999998,3.894581664e+12,6.490969461e+12,0,21,4.32318581e+11,2.05865991e+10,0.5285959025,,1
HHV,Deo Ca Traffic Infrastructure Investment,HOSE,Construction & Materials,Construction Contractors,9540,574511888,488335104,0.8499999986,4.658716892e+12,5.480843412e+12,0,21,6.14796334e+11,2.927601591e+10,0.6284137153,,1
HPG,Hoa Phat Group,HOSE,Basic Resources,Steel,21300,8442964520,5065778712,0.6,1.079010866e+14,1.798351443e+14,0,21,9.34382038e+12,4.449438276e+11,0.4123626942,,1
