ticker,exchange,icb_l2,in_index,is_pick,open_adj,high_adj,low_adj,close_adj,open_raw,high_raw,low_raw,close_raw,volume,value,market_cap,free_float,free_float_ratio,outstanding_shares
ACB,HOSE,BANKS_L2,1,0,22750,22800,22200,22200,22750,22800,22200,22200,11831523,265954797050,128858167450000,4933758660,0.85,5804421960
ANV,HOSE,FOOD_AND_BEVERAGE_L2,1,0,18150,18150,17600,17600,18150,18150,17600,17600,724835,12928849500,4686101200000,79876720,0.3,266255750
BAF,HOSE,FOOD_AND_BEVERAGE_L2,1,0,31700,31700,31250,31400,31700,31700,31250,31400,1627554,51144777400,11455502050000,255377430,0.7,364824910
BCM,HOSE,REAL_ESTATE_L2,1,0,44850,47000,44600,45500,44850,47000,44600,45500,1813412,83259510500,47092500000000,41400000,0.04,1035000000
BID,HOSE,BANKS_L2,1,0,36597.6,37065.6,36363.6,36363.6,39100,39600,38850,38850,5668637,222271280000,282830533410000,436803910,0.06,7280065210
BMP,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,148700,150900,148600,149400,148700,150900,148600,149400,72829,10889611200,12230024140000,36837420,0.45,81860940
BSI,HOSE,FINANCIAL_SERVICES_L2,1,0,29200,29250,28350,28350,29200,29250,28350,28350,407100,11684889500,7651708910000,37786220,0.14,269901550
BSR,HOSE,OIL_AND_GAS_L2,1,0,26600,27200,26250,26500,26600,27200,26250,26500,9713811,259555861800,132693441680000,400583970,0.08,5007299690
BVH,HOSE,INSURANCE_L2,1,0,66900,67100,65500,65500,66900,67100,65500,65500,402208,26688015400,48622141040000,74232280,0.1,742322760
BWE,HOSE,UTILITIES_L2,1,0,44350,44400,44100,44250,44350,44400,44100,44250,130911,5810208800,11122105680000,62836760,0.25,251347020
CII,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,14350,14450,13900,13900,14350,14450,13900,13900,8467426,119248751250,9340595540000,638386030,0.95,671985290
CMG,HOSE,TECHNOLOGY_L2,1,0,24700,25200,24300,24300,24700,25200,24300,24300,180814,4436989150,5659273360000,93156760,0.4,232891910
CTD,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,63700,64000,62300,62300,63700,64000,62300,62300,261402,16482463300,6966586610000,61502770,0.55,111823220
CTG,HOSE,BANKS_L2,1,0,32350,32800,32150,32150,32350,32800,32150,32150,8778890,285116001000,249707270080000,1165041700,0.15,7766944640
CTR,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,76300,77000,75100,76800,76300,77000,75100,76800,387944,29533212900,9838812130000,44838340,0.35,128109530
CTS,HOSE,FINANCIAL_SERVICES_L2,1,0,23100,23600,22700,22700,23100,23600,22700,22700,2724796,62808721050,6179960120000,68061230,0.25,272244940
DBC,HOSE,FOOD_AND_BEVERAGE_L2,1,0,16700,16800,16550,16550,16700,16800,16550,16550,1227002,20411461500,7133819560000,301732550,0.7,431046500
DCM,HOSE,CHEMICALS_L2,1,0,31450,31600,30800,30800,31450,31600,30800,30800,2172647,67628041950,16305520000000,132350000,0.25,529400000
DGW,HOSE,RETAIL_L2,1,0,40650,43850,40650,43150,40650,43850,40650,43150,4217585,180513748550,9543097150000,121638550,0.55,221161000
DIG,HOSE,REAL_ESTATE_L2,1,0,11000,11100,10650,10650,11000,11100,10650,10650,6301380,68440581350,8481992180000,756609630,0.95,796431190
DPM,HOSE,CHEMICALS_L2,1,0,22350,22450,21850,21900,22350,22450,21850,21900,2365269,52256434550,14890357960000,271970010,0.4,679925020
DSE,HOSE,FINANCIAL_SERVICES_L2,1,0,22750,22900,22550,22600,22750,22900,22550,22600,592320,13432621200,9678445620000,149887430,0.35,428249810
DXG,HOSE,REAL_ESTATE_L2,1,0,11200,11450,10850,10850,11200,11450,10850,10850,11902052,132082882150,13758938870000,1014483970,0.8,1268104960
EIB,HOSE,BANKS_L2,1,0,18250,18350,17500,17500,18250,18350,17500,17500,9966382,177834296050,32597610620000,1490176480,0.8,1862720610
EVF,HOSE,FINANCIAL_SERVICES_L2,1,0,12550,13000,12500,12700,12550,13000,12500,12700,3225073,41260081500,9659185690000,722537510,0.95,760565800
F88,UPCOM,FINANCIAL_SERVICES_L2,0,1,67300,67600,66400,67169,67300,67600,66400,66800,158181,10624957100,15533845640000,34770220,0.1503,231265100
FPT,HOSE,TECHNOLOGY_L2,1,0,71000,71300,69200,69200,71000,71300,69200,69200,7485967,525588553800,118631388400000,1457177460,0.85,1714326420
FRT,HOSE,RETAIL_L2,1,0,147300,147900,143100,146900,147300,147900,143100,146900,410258,59834670000,26267931430000,98348280,0.55,178815050
FTS,HOSE,FINANCIAL_SERVICES_L2,1,0,22700,22850,21800,21800,22700,22850,21800,21800,1325404,29550104050,8308977350000,152458300,0.4,381145750
GAS,HOSE,UTILITIES_L2,1,0,79200,80000,77600,77900,79200,80000,77600,77900,1365825,107665240000,187968785990000,120647490,0.05,2412949760
GEE,HOSE,INDUSTRIAL_GOODS_AND_SERVICES_L2,1,0,75300,76400,71300,71500,75300,76400,71300,71500,2602192,190223085500,45795693590000,89669890,0.14,640499210
GEX,HOSE,INDUSTRIAL_GOODS_AND_SERVICES_L2,1,0,26150,26850,25400,25400,26150,26850,25400,25400,16694783,435994616250,33235172490000,915929950,0.7,1308471360
GMD,HOSE,INDUSTRIAL_GOODS_AND_SERVICES_L2,1,0,77000,79800,76400,78500,77000,79800,76400,78500,2132444,167373664400,33982061960000,411247880,0.95,432892510
GVR,HOSE,CHEMICALS_L2,1,0,32000,32900,31850,32650,32000,32900,31850,32650,4980720,161779708700,130600000000000,160000000,0.04,4000000000
HAG,HOSE,FOOD_AND_BEVERAGE_L2,1,0,14200,14350,14050,14100,14200,14350,14050,14100,2054028,29092406150,17870329890000,633699640,0.5,1267399280
HCM,HOSE,FINANCIAL_SERVICES_L2,1,0,26100,26500,25700,25700,26100,26500,25700,25700,6154996,160249245750,34693608040000,742470210,0.55,1349945840
HDB,HOSE,BANKS_L2,1,0,27300,27600,26700,26700,27300,27600,26700,26700,10395862,282076139950,133640877820000,4004221060,0.8,5005276320
HDG,HOSE,REAL_ESTATE_L2,1,0,16750,16800,16300,16300,16750,16800,16300,16300,1064715,17600726550,6633404530000,244174400,0.6,406957330
HHV,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,10350,10350,10100,10150,10350,10350,10100,10150,2891865,29485295150,5831295660000,488335100,0.85,574511890
HPG,HOSE,BASIC_RESOURCES_L2,1,0,22200,22250,21700,21700,22200,22250,21700,21700,25751685,564835859700,183212330080000,5065778710,0.6,8442964520
HSG,HOSE,BASIC_RESOURCES_L2,1,0,10900,11000,10700,10700,10900,11000,10700,10700,2192430,23729386200,8637710930000,565083890,0.7,807262700
HT1,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,13350,13350,13000,13250,13350,13350,13000,13250,260532,3412138600,5056066320000,95397480,0.25,381589910
