anchor_date,group,n_members,fcap,weight
2026-09-11,Banks - Private,14,938502533847000.00000000,0.31130700
2026-09-11,Real Estate - Residential,13,841679620986000.00000000,0.27919025
2026-09-11,Banks - State,4,204429233940000.00000000,0.06781042
2026-09-11,Financial Services,13,190134173482000.00000000,0.06306866
2026-09-11,Food - Staples & Beverage,5,157988154451000.00000000,0.05240563
2026-09-11,Steel,3,117431220592000.00000000,0.03895265
2026-09-11,Consumer Retail,4,115023263880000.00000000,0.03815392
2026-09-11,Technology,2,108112011616000.00000000,0.03586141
2026-09-11,Travel & Leisure,2,55759154360000.00000000,0.01849565
2026-09-11,Logistics,4,45011846660000.00000000,0.01493070
2026-09-11,Food - Agriculture,7,41593928698000.00000000,0.01379696
2026-09-11,Utilities,5,31927861513000.00000000,0.01059067
2026-09-11,Construction Contractors,6,30815815757000.00000000,0.01022179
2026-09-11,Real Estate - Commercial,2,30311796423000.00000000,0.01005461
2026-09-11,Industrial,2,27496055418000.00000000,0.00912061
2026-09-11,Oil & Gas,3,24113381942000.00000000,0.00799856
2026-09-11,Real Estate - Industrial,3,23114230674000.00000000,0.00766713
2026-09-11,Chemicals,4,17993458582000.00000000,0.00596854
2026-09-11,Building Materials,3,8528481779000.00000000,0.00282895
2026-09-11,Insurance,1,4750865664000.00000000,0.00157589
