AV,AV,AV,AV,AV,AV,AV,AV,AV,AV,AV,AV,AV,AV,AV,AV,AV,AV,AV,AV
AV,AV,AV,AV,AV,AV,AV,AV,AV,AV,AV,AV,AV,AV,AV,AV,AV,AV,AV,AV
Banks - Private,Banks - State,Building Materials,Chemicals,Construction Contractors,Consumer Retail,Financial Services,Food - Agriculture,Food - Staples & Beverage,Industrial,Insurance,Logistics,Oil & Gas,Real Estate - Commercial,Real Estate - Industrial,Real Estate - Residential,Steel,Technology,Travel & Leisure,Utilities
ACB,BID,BMP,DCM,CII,DGW,BSI,ANV,KDC,GEE,BVH,GMD,BSR,TCH,BCM,DIG,HPG,CMG,VJC,BWE
EIB,CTG,HT1,DPM,CTD,FRT,CTS,BAF,MCH,GEX,,PVT,PLX,VRE,KBC,DXG,HSG,FPT,VPL,GAS
HDB,MBB,VGC,GVR,CTR,MWG,DSE,DBC,MSN,,,VSC,PVD,,SIP,HDG,NKG,,,NT2
LPB,VCB,,PHR,HHV,PNJ,EVF,HAG,SAB,,,VTP,,,,KDH,,,,POW
MSB,,,,PC1,,FTS,PAN,VNM,,,,,,,KOS,,,,REE
NAB,,,,VCG,,HCM,SBT,,,,,,,,NLG,,,,
OCB,,,,,,SSI,VHC,,,,,,,,NVL,,,,
SHB,,,,,,TCX,,,,,,,,,PDR,,,,
SSB,,,,,,VCI,,,,,,,,,SJS,,,,
STB,,,,,,VCK,,,,,,,,,TAL,,,,
TCB,,,,,,VIX,,,,,,,,,VHM,,,,
TPB,,,,,,VND,,,,,,,,,VIC,,,,
VIB,,,,,,VPX,,,,,,,,,VPI,,,,
VPB,,,,,,,,,,,,,,,,,,,
