anchor_date,group,n_members,fcap,weight
2026-08-12,Banks - Private,14,952978824161550.00000000,0.31656814
2026-08-12,Real Estate - Residential,13,782108579217300.00000000,0.25980710
2026-08-12,Banks - State,4,212483582115720.00000000,0.07058450
2026-08-12,Financial Services,14,203091135844615.93750000,0.06746444
2026-08-12,Food - Staples & Beverage,5,159133413053790.00000000,0.05286221
2026-08-12,Steel,3,122248645188800.00000000,0.04060953
2026-08-12,Consumer Retail,4,117589988163300.00000000,0.03906198
2026-08-12,Technology,2,105469225163600.00000000,0.03503561
2026-08-12,Travel & Leisure,2,55463823072000.00000000,0.01842442
2026-08-12,Logistics,4,46666275309400.00000000,0.01550198
2026-08-12,Food - Agriculture,7,42010122527250.00781250,0.01395526
2026-08-12,Utilities,5,33036109272650.00000000,0.01097420
2026-08-12,Construction Contractors,6,32752545041400.00781250,0.01088000
2026-08-12,Industrial,2,30703710882480.00000000,0.01019940
2026-08-12,Real Estate - Commercial,2,29808840803800.00000000,0.00990214
2026-08-12,Real Estate - Industrial,3,24528923472700.00000000,0.00814821
2026-08-12,Oil & Gas,3,23946585169500.00000000,0.00795477
2026-08-12,Chemicals,4,18148449810600.00000000,0.00602870
2026-08-12,Building Materials,3,8934264823250.01171875,0.00296786
2026-08-12,Insurance,1,4958716331200.00097656,0.00164723
2026-08-12,Mining,1,4281661427502.00000000,0.00142232
