date,default,tilt,sector_cap
2025-01-02,1.00000000,1.00000000,1.00000000
2025-01-03,0.99900000,0.99900000,0.99900000
2025-01-06,0.99146787,0.99100142,0.98789210
2025-01-07,0.99133781,0.99067060,0.98747136
2025-01-08,0.99343531,0.99420856,0.99368247
2025-01-09,0.98811066,0.98606970,0.98624953
2025-01-10,0.97430842,0.97116801,0.97303698
2025-01-13,0.97791227,0.97546141,0.97746248
2025-01-14,0.96863334,0.96665019,0.96910018
2025-01-15,0.97640961,0.97488033,0.97587039
2025-01-16,0.98009106,0.97881304,0.98101036
2025-01-17,0.98975339,0.98946854,0.98936988
2025-01-20,0.99049953,0.99064952,0.98918502
2025-01-21,0.98811137,0.98820657,0.98857515
2025-01-22,0.98233456,0.98261634,0.98350955
2025-01-23,0.99947631,1.00140367,1.00165639
2025-01-24,1.00328859,1.00569417,1.00590918
2025-02-03,0.98948284,0.99431992,0.99712908
2025-02-04,1.00089363,1.00731701,1.01100031
2025-02-05,1.00345349,1.00992581,1.01172425
2025-02-06,1.00659670,1.01529524,1.01440839
2025-02-07,1.01198379,1.02297495,1.02201661
2025-02-10,0.99965863,1.01200547,1.00624436
2025-02-11,1.00461021,1.01436499,1.00838454
2025-02-12,1.00287554,1.01175403,1.00701599
2025-02-13,1.00527314,1.01477742,1.00898694
2025-02-14,1.00884110,1.01923578,1.01395316
2025-02-17,1.00355934,1.01472877,1.01063443
2025-02-18,1.00767000,1.01934663,1.01616120
2025-02-19,1.01561906,1.02562092,1.02271324
2025-02-20,1.02433717,1.03734422,1.03553623
2025-02-21,1.02824036,1.04412832,1.04236901
2025-02-24,1.03484604,1.05145737,1.05175932
2025-02-25,1.03206739,1.04808563,1.05055556
2025-02-26,1.03288925,1.04783203,1.05248757
2025-02-27,1.03700418,1.05319728,1.05930034
2025-02-28,1.03345709,1.04846970,1.05427031
2025-03-03,1.03729224,1.05076358,1.05872025
2025-03-04,1.04415451,1.06081946,1.06420414
2025-03-05,1.03928054,1.05653947,1.05987543
2025-03-06,1.05465345,1.07400435,1.08095247
2025-03-07,1.06134854,1.08149603,1.08856731
2025-03-10,1.06133266,1.08351089,1.09034101
2025-03-11,1.06520913,1.09111315,1.09827356
2025-03-12,1.06272830,1.08704263,1.09525579
2025-03-13,1.05462349,1.07381765,1.08433180
2025-03-14,1.05287032,1.07495676,1.08414754
2025-03-17,1.05973099,1.08564451,1.09354469
2025-03-18,1.05334769,1.07830247,1.08519395
2025-03-19,1.04220473,1.06764955,1.07353064
2025-03-20,1.04454102,1.07111815,1.07594650
2025-03-21,1.04566659,1.07007066,1.07706353
2025-03-24,1.05661961,1.08018022,1.08728853
2025-03-25,1.05607831,1.07956130,1.08762845
2025-03-26,1.05118982,1.07696656,1.08482677
2025-03-27,1.04839672,1.06970379,1.07736197
2025-03-28,1.04230476,1.06428371,1.07232810
2025-03-31,1.03489952,1.05809775,1.06506921
2025-04-01,1.04459142,1.06903820,1.07607029
2025-04-02,1.04506850,1.06894331,1.07695044
2025-04-03,0.97265272,0.99453255,1.00169886
2025-04-04,0.95589057,0.97632140,0.98026168
2025-04-08,0.89110429,0.90886871,0.91239271
2025-04-09,0.86301077,0.87580357,0.87186087
2025-04-10,0.92301190,0.93663798,0.93255657
2025-04-11,0.96862964,0.98780419,0.98492698
2025-04-14,0.98459138,1.00332975,1.01029936
2025-04-15,0.97062002,0.98937426,1.00195227
2025-04-16,0.95740293,0.98111760,0.98921452
2025-04-17,0.96113636,0.98281525,0.99200063
2025-04-18,0.96583494,0.98627777,0.99278578
2025-04-21,0.95623689,0.97192026,0.97808470
2025-04-22,0.95556351,0.97197057,0.98401469
2025-04-23,0.97193681,0.98993044,1.00101529
2025-04-24,0.98047400,0.99479197,1.01097460
2025-04-25,0.98496856,0.99643304,1.01486001
2025-04-28,0.97959708,0.99603736,1.01201874
2025-04-29,0.98162820,0.99881229,1.01366798
2025-05-05,0.99098580,1.00590961,1.02421811
2025-05-06,0.99553977,1.01081683,1.02725984
2025-05-07,0.99902122,1.01222523,1.02894050
2025-05-08,1.01035671,1.02127853,1.03797406
2025-05-09,1.01046313,1.02085031,1.03595386
2025-05-12,1.02692726,1.03983227,1.04673086
2025-05-13,1.03811290,1.05435710,1.06471538
2025-05-14,1.05264470,1.06985188,1.07403600
2025-05-15,1.05222275,1.07447557,1.07456809
2025-05-16,1.04046184,1.06199417,1.06388252
2025-05-19,1.03796041,1.06143026,1.06157272
2025-05-20,1.05755569,1.08183906,1.08028234
2025-05-21,1.06751089,1.08941159,1.09011954
2025-05-22,1.06041810,1.08145988,1.08386758
2025-05-23,1.06046035,1.07876389,1.08150101
2025-05-26,1.07727571,1.09270215,1.10048906
2025-05-27,1.08368462,1.09811969,1.10800803
