variant,decision_date,fill_date,trigger,group_drift_at_decision,turnover_1way,cost,bad_identity_rows
default,2025-01-02,2025-01-03,inception,,1.0,0.001,4
default,2025-04-01,2025-04-02,calendar,0.038563,0.027525,8.257e-05,3
default,2025-05-30,2025-06-02,band,0.050484,0.059978,0.00017993,3
default,2025-07-01,2025-07-02,calendar,0.011572,0.063891,0.00019167,3
default,2025-08-21,2025-08-22,band,0.05017,0.069007,0.00020702,4
default,2025-10-01,2025-10-02,calendar,0.021434,0.120114,0.00036034,2
default,2026-01-05,2026-01-06,calendar,0.054363,0.070096,0.00021029,3
default,2026-01-28,2026-01-29,band,0.056461,0.056065,0.0001682,2
default,2026-04-01,2026-04-02,calendar,0.03017,0.07377,0.00022131,2
default,2026-05-08,2026-05-11,band,0.052954,0.055675,0.00016703,2
default,2026-07-01,2026-07-02,calendar,0.024835,0.072044,0.00021613,2
tilt,2025-01-02,2025-01-03,inception,,1.0,0.001,4
tilt,2025-04-01,2025-04-02,calendar,0.023268,0.025605,7.681e-05,3
tilt,2025-07-01,2025-07-02,calendar,0.030558,0.018693,5.608e-05,3
tilt,2025-10-01,2025-10-02,calendar,0.015202,0.072384,0.00021715,2
tilt,2026-01-05,2026-01-06,calendar,0.045975,0.073093,0.00021928,3
tilt,2026-02-04,2026-02-05,band,0.055148,0.050193,0.00015058,2
tilt,2026-04-01,2026-04-02,calendar,0.032152,0.067817,0.00020345,2
tilt,2026-07-01,2026-07-02,calendar,0.032794,0.029008,8.702e-05,2
sector_cap,2025-01-02,2025-01-03,inception,,1.0,0.001,4
sector_cap,2025-04-01,2025-04-02,calendar,0.033432,0.026247,7.874e-05,3
sector_cap,2025-05-28,2025-05-29,band,0.050513,0.063267,0.0001898,3
sector_cap,2025-07-01,2025-07-02,calendar,0.010652,0.052142,0.00015643,3
sector_cap,2025-10-01,2025-10-02,calendar,0.015189,0.076804,0.00023041,2
sector_cap,2026-01-05,2026-01-06,calendar,0.060134,0.100643,0.00030193,3
sector_cap,2026-01-28,2026-01-29,band,0.053799,0.05245,0.00015735,2
sector_cap,2026-04-01,2026-04-02,calendar,0.027347,0.070776,0.00021233,2
sector_cap,2026-05-08,2026-05-11,band,0.050162,0.054638,0.00016391,2
sector_cap,2026-07-01,2026-07-02,calendar,0.025933,0.057605,0.00017281,2
