date,portfolio,benchmark
2026-01-05,1.00000000,1.00000000
2026-01-06,0.99900000,1.01558376
2026-01-07,1.02265291,1.04091926
2026-01-08,1.00891565,1.03755312
2026-01-09,1.00720599,1.04445314
2026-01-12,1.02748906,1.04972601
2026-01-13,1.03077668,1.06404048
2026-01-14,1.01180399,1.05929322
2026-01-15,1.00086980,1.04271975
2026-01-16,1.00549474,1.05073250
2026-01-19,1.01262186,1.06049541
2026-01-20,1.00715420,1.05892418
2026-01-21,0.99934606,1.05426079
2026-01-22,0.99978988,1.05274547
2026-01-23,1.00241456,1.04606911
2026-01-26,0.97806419,1.03093268
2026-01-27,0.96944631,1.02354059
2026-01-28,0.95730401,1.00811340
2026-01-29,0.96565557,1.01486245
2026-01-30,0.97933187,1.02272422
2026-02-02,0.96442491,1.01012078
2026-02-03,0.96197074,1.01397898
2026-02-04,0.95909717,1.00169425
2026-02-05,0.95718984,0.99673451
2026-02-06,0.93975664,0.98159808
2026-02-09,0.93808493,0.98122344
2026-02-10,0.94527268,0.98078170
2026-02-11,0.97268280,1.00472489
2026-02-12,0.98574626,1.01436480
2026-02-13,0.99107374,1.01995639
2026-02-23,1.00377351,1.04011407
2026-02-24,1.00887120,1.04429658
2026-02-25,1.00658973,1.04054462
2026-02-26,1.01248662,1.05101767
2026-02-27,1.01148019,1.05140349
2026-03-02,0.97383112,1.03226348
2026-03-03,0.94877644,1.01383359
2026-03-04,0.94217133,1.01670208
2026-03-05,0.93579586,1.01124469
2026-03-06,0.92024780,0.98850369
2026-03-09,0.85649093,0.92417244
2026-03-10,0.88647844,0.93755871
2026-03-11,0.91797476,0.96641691
2026-03-12,0.90392543,0.95594386
2026-03-13,0.90077531,0.94846790
2026-03-16,0.90541975,0.94677365
2026-03-17,0.91743919,0.95632409
2026-03-18,0.91705551,0.95830351
2026-03-19,0.91243185,0.95008387
2026-03-20,0.89092527,0.92138783
2026-03-23,0.86343300,0.88971707
2026-03-24,0.88370659,0.90291322
2026-03-25,0.91734974,0.92719190
2026-03-26,0.90727739,0.91960971
2026-03-27,0.92413573,0.93536122
2026-03-30,0.91990866,0.92962425
2026-03-31,0.92473961,0.93630620
2026-04-01,0.94151353,0.95220868
2026-04-02,0.94663641,0.94767390
2026-04-03,0.93729024,0.94164616
2026-04-06,0.92752853,0.93658577
2026-04-07,0.92420565,0.93801163
2026-04-08,0.97619443,0.98219079
2026-04-09,0.97045756,0.97108030
2026-04-10,0.97645208,0.97852829
2026-04-13,0.97469760,0.98353836
2026-04-14,0.98912145,0.99287072
2026-04-15,0.99663250,1.00684970
2026-04-16,1.00074867,1.01757437
2026-04-17,1.00498531,1.01608701
2026-04-20,1.02295153,1.02723664
2026-04-21,1.01669513,1.02520689
2026-04-22,1.02235969,1.03852606
2026-04-23,1.01772803,1.04582867
2026-04-24,1.00885180,1.03628383
2026-04-28,1.02239443,1.04889287
2026-04-29,1.00916801,1.03673675
2026-05-04,1.00150354,1.03671438
2026-05-05,1.01110321,1.04833930
2026-05-06,1.02359563,1.05748155
2026-05-07,1.03708896,1.06744017
2026-05-08,1.03752570,1.07099642
2026-05-11,1.02604218,1.05988593
2026-05-12,1.02592275,1.06301722
2026-05-13,1.01978111,1.06149072
2026-05-14,1.03371641,1.07663834
2026-05-15,1.03157362,1.07447998
2026-05-18,1.02366345,1.07802505
2026-05-19,1.01621535,1.06963207
2026-05-20,1.00914513,1.06979982
2026-05-21,1.01122553,1.06066316
2026-05-22,1.00317573,1.04961418
2026-05-25,1.01527649,1.05459070
2026-05-26,1.02052192,1.05355625
2026-05-27,1.02066766,1.04810445
2026-05-28,1.01216578,1.04208790
2026-05-29,1.00991521,1.04198725
2026-06-01,1.00374321,1.03139119
2026-06-02,0.98800232,1.02128718
2026-06-03,0.99157201,1.01711586
2026-06-04,0.99572168,1.02412771
2026-06-05,0.99508234,1.02823753
2026-06-08,0.97280267,1.00119101
2026-06-09,0.97937810,1.00260009
2026-06-10,0.98531237,1.00856072
2026-06-11,0.97816295,1.00570901
2026-06-12,0.97146698,1.00181727
2026-06-15,0.98376011,1.00610042
2026-06-16,0.98765378,1.01092597
2026-06-17,0.98330803,1.00995303
2026-06-18,0.99287452,1.02352382
2026-06-19,0.98833192,1.02020242
2026-06-22,0.99969839,1.03886714
2026-06-23,1.00600860,1.04509058
2026-06-24,1.01527032,1.05011183
2026-06-25,1.01367150,1.04175240
2026-06-26,1.02112629,1.04669537
2026-06-29,1.02210038,1.03722322
2026-06-30,1.02077421,1.04004138
2026-07-01,1.03218849,1.04406732
2026-07-02,1.03368696,1.04358645
2026-07-03,1.03336968,1.04119884
2026-07-06,1.02849053,1.03080966
2026-07-07,1.03231302,1.03346567
2026-07-08,1.03393919,1.03651308
2026-07-09,1.02409975,1.02924402
2026-07-10,1.00778339,1.02233281
2026-07-13,0.99391479,1.00678819
2026-07-14,0.99439321,1.01019347
2026-07-15,0.98042231,0.99648848
2026-07-16,1.00446456,1.00885708
2026-07-17,0.99685728,0.99946880
2026-07-20,0.96784004,0.97489935
2026-07-21,0.96956054,0.96765824
2026-07-22,0.93577326,0.93297361
2026-07-23,0.94750026,0.95022366
2026-07-24,0.93576865,0.94280362
2026-07-27,0.92086661,0.93324200
2026-07-28,0.92911661,0.93973384
2026-07-29,0.94359376,0.95318721
2026-07-30,0.97139389,0.97554238
2026-07-31,0.96487485,0.97057705
2026-08-03,0.98549551,0.98570790
2026-08-04,0.99232187,0.99375419
2026-08-05,0.99092738,0.99332364
2026-08-06,0.98425598,0.98679266
2026-08-07,0.97960518,0.98862671
2026-08-10,0.99461143,0.99349698
2026-08-11,0.99324498,0.99161821
2026-08-12,1.00159151,1.00267278
2026-08-13,0.98829613,0.98726795
2026-08-14,0.97180427,0.96683069
2026-08-17,0.97085293,0.96592485
2026-08-18,0.96918645,0.96847461
2026-08-19,0.96635801,0.96549430
2026-08-20,0.97015743,0.96971595
2026-08-21,0.99815137,0.98866025
2026-08-24,1.00403824,1.00021248
2026-08-25,0.99718822,1.00168307
2026-08-26,1.01552625,1.01840752
2026-08-27,1.02345757,1.02413330
2026-08-28,1.01813838,1.02444643
2026-09-03,0.99939869,1.02198613
2026-09-04,1.01082087,1.03616641
2026-09-07,1.00131774,1.01858645
2026-09-08,1.00145479,1.02350705
2026-09-09,1.00054951,1.02165064
2026-09-10,1.00272069,1.02283046
2026-09-11,0.98109847,1.00380787
