ticker,group,weight,target
VHM,Real Estate - Residential,0.18070771,0.17913712
TCB,Banks - Private,0.12553606,0.12763320
VPB,Banks - Private,0.11829786,0.11540415
ACB,Banks - Private,0.10943441,0.10669328
HDB,Banks - Private,0.10794940,0.10169290
CTG,Banks - State,0.06987574,0.07468988
MWG,Consumer Retail,0.06844804,0.07150844
HCM,Financial Services,0.05710098,0.05314140
HPG,Steel,0.05197079,0.05419000
TCX,Financial Services,0.04858497,0.05446444
NVL,Real Estate - Residential,0.01977855,0.01915700
PC1,Construction Contractors,0.01625744,0.01694312
GMD,Logistics,0.01419217,0.01359655
DGW,Consumer Retail,0.00502582,0.00431891
PVT,Logistics,0.00271138,0.00235801
VSC,Logistics,0.00221183,0.00303591
VTP,Logistics,0.00191684,0.00203567
