AV,UW,NO,NO,AV,OW,AV,NO,NO,NO,NO,AV,NO,NO,NO,0.5,AV,NO,NO,NO
AV,UW,NO,NO,AV,OW,AV,NO,NO,NO,NO,AV,NO,NO,NO,UW,AV,NO,NO,NO
Banks - Private,Banks - State,Building Materials,Chemicals,Construction Contractors,Consumer Retail,Financial Services,Food - Agriculture,Food - Staples & Beverage,Industrial,Insurance,Logistics,Oil & Gas,Real Estate - Commercial,Real Estate - Industrial,Real Estate - Residential,Steel,Technology,Travel & Leisure,Utilities
ACB,CTG,BMP,DCM,PC1,DGW,HCM,ANV,KDC,GEE,BVH,GMD,BSR,TCH,BCM,NVL,HPG,CMG,VJC,BWE
HDB,,HT1,DPM,,MWG,TCX,BAF,MCH,GEX,,PVT,PLX,VRE,KBC,VHM,,FPT,VPL,GAS
TCB,,VGC,GVR,,,,DBC,MSN,,,VSC,PVD,,SIP,,,,,NT2
VPB,,,PHR,,,,HAG,SAB,,,VTP,,,,,,,,POW
,,,,,,,PAN,VNM,,,,,,,,,,,REE
,,,,,,,SBT,,,,,,,,,,,,
,,,,,,,VHC,,,,,,,,,,,,
