trade_date,ticker,sector,home_sector,rating,multiplier,close_raw,fcap,weight_in_sector,target_weight,pin
2026-09-11,VHM,Real Estate - Residential,Real Estate - Residential,UW,0.50000000,72000,177440198500000.00000000,0.91672847,0.18913077,
2026-09-11,TCB,Banks - Private,Banks - Private,AV,1.00000000,31600,123158858400000.00000000,0.26957566,0.12402830,
2026-09-11,VPB,Banks - Private,Banks - Private,AV,1.00000000,26950,117600582600000.00000000,0.25740945,0.11843078,
2026-09-11,ACB,Banks - Private,Banks - Private,AV,1.00000000,22050,108789378500000.00000000,0.23812309,0.10955738,
2026-09-11,HDB,Banks - Private,Banks - Private,AV,1.00000000,26800,107313124400000.00000000,0.23489180,0.10807070,
2026-09-11,CTG,Banks - State,Banks - State,UW,0.75000000,29950,34892998770000.00000000,1.00000000,0.07516383,
2026-09-11,MWG,Consumer Retail,Consumer Retail,OW,1.25000000,71300,78916567880000.00000000,0.93535133,0.06592880,
2026-09-11,HPG,Steel,Steel,AV,1.00000000,21300,107901086600000.00000000,1.00000000,0.05756894,
2026-09-11,HCM,Financial Services,Financial Services,AV,1.00000000,25500,18932990360000.00000000,0.54422361,0.05072735,
2026-09-11,TCX,Financial Services,Financial Services,AV,1.00000000,38100,15856000720000.00000000,0.45577639,0.04248314,
2026-09-11,NVL,Real Estate - Residential,Real Estate - Residential,UW,0.50000000,12200,16117876080000.00000000,0.08327153,0.01717980,
2026-09-11,PC1,Construction Contractors,Construction Contractors,AV,1.00000000,20400,5034132582000.00000000,1.00000000,0.01510700,
2026-09-11,GMD,Logistics,Logistics,AV,1.00000000,74600,30679092070000.00000000,0.68157817,0.01503997,
2026-09-11,DGW,Consumer Retail,Consumer Retail,OW,1.25000000,44400,5454475620000.00000000,0.06464867,0.00455680,
2026-09-11,PVT,Logistics,Logistics,AV,1.00000000,22100,5711954265000.00000000,0.12689891,0.00280020,
2026-09-11,VSC,Logistics,Logistics,AV,1.00000000,13000,4623473959000.00000000,0.10271682,0.00226659,
2026-09-11,VTP,Logistics,Logistics,AV,1.00000000,49500,3997326366000.00000000,0.08880610,0.00195963,
