date,default,tilt,sector_cap,tactical,sector_cap_tactical
2025-01-02,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
2025-01-03,0.99900000,0.99900000,0.99900000,0.99900000,0.99900000
2025-01-06,0.99176491,0.99176491,0.99045293,0.99175876,0.99048120
2025-01-07,0.99219058,0.99219058,0.98980572,0.99212435,0.98978923
2025-01-08,0.99485272,0.99485272,0.99260904,0.99479095,0.99259419
2025-01-09,0.99051680,0.99051680,0.98903710,0.99053400,0.98909872
2025-01-10,0.97644359,0.97644359,0.97561657,0.97652451,0.97573889
2025-01-13,0.98170838,0.98170838,0.98105774,0.98177034,0.98115187
2025-01-14,0.97524806,0.97524806,0.97423901,0.97545282,0.97451893
2025-01-15,0.98228462,0.98228462,0.98118522,0.98243106,0.98139573
2025-01-16,0.98752431,0.98752431,0.98669258,0.98762587,0.98684046
2025-01-17,0.99498561,0.99498561,0.99313772,0.99494274,0.99313535
2025-01-20,0.99615395,0.99615395,0.99379839,0.99605749,0.99374385
2025-01-21,0.99456329,0.99456329,0.99225472,0.99432534,0.99202452
2025-01-22,0.99280448,0.99280448,0.98949624,0.99256963,0.98929716
2025-01-23,1.01105028,1.01105028,1.00655761,1.01067055,1.00621232
2025-01-24,1.01680919,1.01680919,1.01194449,1.01638831,1.01155865
2025-02-03,1.00233653,1.00233653,0.99760335,1.00205892,0.99739050
2025-02-04,1.01261344,1.01261344,1.00757080,1.01230246,1.00732527
2025-02-05,1.01637147,1.01637147,1.01061431,1.01604260,1.01036625
2025-02-06,1.01900665,1.01900665,1.01198440,1.01860262,1.01167826
2025-02-07,1.02106539,1.02106539,1.01335689,1.02059834,1.01299184
2025-02-10,1.01156513,1.01156513,1.00104554,1.01123109,1.00092120
2025-02-11,1.01752081,1.01752081,1.00687559,1.01713047,1.00668528
2025-02-12,1.01636434,1.01636434,1.00574280,1.01599236,1.00557447
2025-02-13,1.01820053,1.01820053,1.00700424,1.01778180,1.00679401
2025-02-14,1.02154233,1.02154233,1.01086610,1.02120801,1.01074569
2025-02-17,1.01923362,1.01923362,1.00849342,1.01890893,1.00838662
2025-02-18,1.02213297,1.02213297,1.01204666,1.02181764,1.01193354
2025-02-19,1.03027486,1.03027486,1.02053466,1.03001117,1.02047572
2025-02-20,1.03377071,1.03377071,1.02385618,1.03344984,1.02373153
2025-02-21,1.03535442,1.03535442,1.02507231,1.03498628,1.02489945
2025-02-24,1.04227589,1.04227589,1.03202203,1.04184009,1.03176500
2025-02-25,1.03995971,1.03995971,1.03011188,1.03961632,1.02995765
2025-02-26,1.04083789,1.04083789,1.03219196,1.04043522,1.03193184
2025-02-27,1.04449424,1.04449424,1.03673908,1.04401516,1.03636047
2025-02-28,1.04074343,1.04074343,1.03322834,1.04036793,1.03297082
2025-03-03,1.04450647,1.04450647,1.03824037,1.04419155,1.03802341
2025-03-04,1.04826180,1.04826180,1.04025338,1.04791909,1.04004976
2025-03-05,1.04311491,1.04311491,1.03467136,1.04269016,1.03437851
2025-03-06,1.05639461,1.05639461,1.04930728,1.05579153,1.04875760
2025-03-07,1.06206580,1.06206580,1.05516121,1.06134593,1.05446260
2025-03-10,1.06140622,1.06140622,1.05469499,1.06067889,1.05398190
2025-03-11,1.06346987,1.06346987,1.05650443,1.06267219,1.05571158
2025-03-12,1.06153781,1.06153781,1.05482465,1.06078577,1.05408117
2025-03-13,1.05541558,1.05541558,1.05057491,1.05462599,1.04973401
2025-03-14,1.05352523,1.05352523,1.04725792,1.05264771,1.04634761
2025-03-17,1.06117534,1.06117534,1.05348144,1.06030918,1.05262409
2025-03-18,1.05674813,1.05674813,1.04832033,1.05608323,1.04773108
2025-03-19,1.04857118,1.04857118,1.03895036,1.04792524,1.03841706
2025-03-20,1.04916440,1.04916440,1.03986728,1.04847378,1.03927006
2025-03-21,1.04863297,1.04863297,1.04108190,1.04788092,1.04036129
2025-03-24,1.05602261,1.05602261,1.04925701,1.05514471,1.04835984
2025-03-25,1.05497433,1.05497433,1.04815572,1.05410353,1.04726875
2025-03-26,1.04869836,1.04869836,1.04204048,1.04794813,1.04129771
2025-03-27,1.04814944,1.04814944,1.04233481,1.04735986,1.04152052
