variant,decision_date,fill_date,trigger,group_drift_at_decision,turnover_1way,cost,bad_identity_rows
default,2025-01-02,2025-01-03,inception,,1.0,0.001,4
default,2025-04-01,2025-04-02,calendar,0.041025,0.021955,6.587e-05,3
default,2025-07-01,2025-07-02,calendar,0.031693,0.021987,6.596e-05,3
default,2025-10-01,2025-10-02,calendar,0.049104,0.04892,0.00014676,2
default,2025-11-24,2025-11-25,band,0.053307,0.063124,0.00018937,3
default,2026-01-05,2026-01-06,calendar,0.039734,0.082297,0.00024689,3
default,2026-02-02,2026-02-03,band,0.057067,0.062051,0.00018615,2
default,2026-04-01,2026-04-02,calendar,0.030645,0.071909,0.00021573,2
default,2026-04-22,2026-04-23,band,0.050047,0.059246,0.00017774,2
default,2026-07-01,2026-07-02,calendar,0.022176,0.063001,0.000189,2
tilt,2025-01-02,2025-01-03,inception,,1.0,0.001,4
tilt,2025-04-01,2025-04-02,calendar,0.041025,0.021955,6.587e-05,3
tilt,2025-07-01,2025-07-02,calendar,0.031693,0.021987,6.596e-05,3
tilt,2025-10-01,2025-10-02,calendar,0.049104,0.04892,0.00014676,2
tilt,2025-11-24,2025-11-25,band,0.053307,0.063124,0.00018937,3
tilt,2026-01-05,2026-01-06,calendar,0.039734,0.082297,0.00024689,3
tilt,2026-02-02,2026-02-03,band,0.057067,0.062051,0.00018615,2
tilt,2026-04-01,2026-04-02,calendar,0.030645,0.071909,0.00021573,2
tilt,2026-04-22,2026-04-23,band,0.050047,0.059246,0.00017774,2
tilt,2026-07-01,2026-07-02,calendar,0.022176,0.063001,0.000189,2
sector_cap,2025-01-02,2025-01-03,inception,,1.0,0.001,4
sector_cap,2025-04-01,2025-04-02,calendar,0.04802,0.027398,8.22e-05,3
sector_cap,2025-07-01,2025-07-02,calendar,0.039996,0.023805,7.142e-05,3
sector_cap,2025-08-20,2025-08-21,band,0.050409,0.074219,0.00022266,3
sector_cap,2025-10-01,2025-10-02,calendar,0.030929,0.088241,0.00026472,2
sector_cap,2025-11-24,2025-11-25,band,0.05471,0.066265,0.0001988,3
sector_cap,2026-01-05,2026-01-06,calendar,0.042523,0.083161,0.00024948,3
sector_cap,2026-02-02,2026-02-03,band,0.05499,0.062951,0.00018885,2
sector_cap,2026-04-01,2026-04-02,calendar,0.033909,0.054864,0.00016459,2
sector_cap,2026-04-23,2026-04-24,band,0.053965,0.056208,0.00016862,1
sector_cap,2026-07-01,2026-07-02,calendar,0.017247,0.032243,9.673e-05,2
tactical,2025-01-02,2025-01-03,inception,,1.0,0.001,4
tactical,2025-04-01,2025-04-02,calendar,0.041353,0.02188,6.564e-05,3
tactical,2025-07-01,2025-07-02,calendar,0.031623,0.021901,6.57e-05,3
tactical,2025-10-01,2025-10-02,calendar,0.049287,0.048642,0.00014593,2
tactical,2025-11-24,2025-11-25,band,0.053227,0.062793,0.00018838,3
tactical,2026-01-05,2026-01-06,calendar,0.040355,0.082137,0.00024641,3
tactical,2026-02-02,2026-02-03,band,0.057453,0.062917,0.00018875,2
tactical,2026-04-01,2026-04-02,calendar,0.031402,0.072471,0.00021741,2
tactical,2026-04-23,2026-04-24,band,0.055082,0.057075,0.00017122,1
tactical,2026-07-01,2026-07-02,calendar,0.018873,0.06052,0.00018156,2
sector_cap_tactical,2025-01-02,2025-01-03,inception,,1.0,0.001,4
sector_cap_tactical,2025-04-01,2025-04-02,calendar,0.0481,0.027406,8.222e-05,3
sector_cap_tactical,2025-07-01,2025-07-02,calendar,0.039781,0.023572,7.072e-05,3
sector_cap_tactical,2025-08-21,2025-08-22,band,0.051576,0.073694,0.00022108,4
sector_cap_tactical,2025-10-01,2025-10-02,calendar,0.029128,0.088814,0.00026644,2
sector_cap_tactical,2025-11-24,2025-11-25,band,0.054844,0.065952,0.00019786,3
sector_cap_tactical,2026-01-05,2026-01-06,calendar,0.043337,0.082764,0.00024829,3
sector_cap_tactical,2026-02-02,2026-02-03,band,0.055585,0.063995,0.00019198,2
sector_cap_tactical,2026-04-01,2026-04-02,calendar,0.035105,0.055778,0.00016733,2
sector_cap_tactical,2026-04-23,2026-04-24,band,0.054053,0.056275,0.00016883,1
sector_cap_tactical,2026-07-01,2026-07-02,calendar,0.017249,0.032094,9.628e-05,2
