trade_date,ticker,sector,rating,multiplier,close_adj,close_raw,fcap,weight_in_sector,target_weight
2026-08-12,VIC,Real Estate - Residential,AV,1.00000000,215500.00000000,215500,501825352850500,0.64163131,0.16670037
2026-08-12,VHM,Real Estate - Residential,AV,1.00000000,73800.00000000,73800,181876203315600,0.23254598,0.06041710
2026-08-12,LPB,Banks - Private,AV,1.00000000,53800.00000000,53800,144644199282000,0.15178113,0.04804907
2026-08-12,STB,Banks - Private,AV,1.00000000,74100.00000000,74100,132709760035600,0.13925783,0.04408459
2026-08-12,TCB,Banks - Private,AV,1.00000000,31500.00000000,31500,122769115313750,0.12882670,0.04078243
2026-08-12,ACB,Banks - Private,AV,1.00000000,22750.00000000,22750,112243009455500,0.11778122,0.03728578
2026-08-12,VPB,Banks - Private,AV,1.00000000,25700.00000000,25700,112146010102500,0.11767944,0.03725356
2026-08-12,HPG,Steel,AV,1.00000000,22100.00000000,22100,111953709489800,0.91578691,0.03718968
2026-08-12,HDB,Banks - Private,AV,1.00000000,27200.00000000,27200,108914812900800,0.11428881,0.03618020
2026-08-12,FPT,Technology,AV,1.00000000,70800.00000000,70800,103168164290400,0.97818263,0.03427123
2026-08-12,MBB,Banks - State,AV,1.00000000,20450.00000000,20450,102952967575000,0.48452199,0.03419974
2026-08-12,MWG,Consumer Retail,AV,1.00000000,74000.00000000,74000,81904992795000,0.69653033,0.02720785
2026-08-12,MSN,Food - Staples & Beverage,AV,1.00000000,67200.00000000,67200,58882304584800,0.37001849,0.01955999
2026-08-12,VCB,Banks - State,AV,1.00000000,59700.00000000,59700,54871718348070,0.25823980,0.01822773
2026-08-12,VNM,Food - Staples & Beverage,AV,1.00000000,61800.00000000,61800,51663698847200,0.32465651,0.01716206
2026-08-12,SHB,Banks - Private,AV,1.00000000,11850.00000000,11850,47492167860000,0.04983549,0.01577633
2026-08-12,SSI,Financial Services,AV,1.00000000,20222.29000000,25300,44294441317500,0.21810130,0.01471408
2026-08-12,CTG,Banks - State,AV,1.00000000,32200.00000000,32200,37514342725300,0.17655172,0.01246182
2026-08-12,MCH,Food - Staples & Beverage,AV,1.00000000,136200.00000000,136200,35613710810000,0.22379782,0.01183045
2026-08-12,MSB,Banks - Private,AV,1.00000000,16050.00000000,16050,35053200000000,0.03678277,0.01164425
2026-08-12,VIX,Financial Services,AV,1.00000000,14300.00000000,14300,35039115139999,0.17252902,0.01163957
2026-08-12,VJC,Travel & Leisure,AV,1.00000000,127700.00000000,127700,34374610402800,0.61976634,0.01141884
2026-08-12,GMD,Logistics,AV,1.00000000,77200.00000000,77200,31748336258099,0.68032720,0.01054642
2026-08-12,SSB,Banks - Private,AV,1.00000000,15450.00000000,15450,29136228000000,0.03057385,0.00967871
