anchor_date,group,kind,rating,multiplier,n_members,fcap,migrated_out,baseline_weight,uncapped_weight,weight,capped,realised_tilt
2026-08-12,Banks - Private,sector,AV,1.00000000,14,952978824161550,0,0.31656814,0.31656814,0.31656814,False,1.00000000
2026-08-12,Real Estate - Residential,sector,AV,1.00000000,13,782108579217300,0,0.25980710,0.25980710,0.25980710,False,1.00000000
2026-08-12,Banks - State,sector,AV,1.00000000,4,212483582115720,0,0.07058450,0.07058450,0.07058450,False,1.00000000
2026-08-12,Financial Services,sector,AV,1.00000000,14,203091135844615,0,0.06746444,0.06746444,0.06746444,False,1.00000000
2026-08-12,Food - Staples & Beverage,sector,AV,1.00000000,5,159133413053790,0,0.05286221,0.05286221,0.05286221,False,1.00000000
2026-08-12,Steel,sector,AV,1.00000000,3,122248645188800,0,0.04060953,0.04060953,0.04060953,False,1.00000000
2026-08-12,Consumer Retail,sector,AV,1.00000000,4,117589988163300,0,0.03906198,0.03906198,0.03906198,False,1.00000000
2026-08-12,Technology,sector,AV,1.00000000,2,105469225163600,0,0.03503561,0.03503561,0.03503561,False,1.00000000
2026-08-12,Travel & Leisure,sector,AV,1.00000000,2,55463823072000,0,0.01842442,0.01842442,0.01842442,False,1.00000000
2026-08-12,Logistics,sector,AV,1.00000000,4,46666275309400,0,0.01550198,0.01550198,0.01550198,False,1.00000000
2026-08-12,Food - Agriculture,sector,AV,1.00000000,7,42010122527250,0,0.01395526,0.01395526,0.01395526,False,1.00000000
2026-08-12,Utilities,sector,AV,1.00000000,5,33036109272650,0,0.01097420,0.01097420,0.01097420,False,1.00000000
2026-08-12,Construction Contractors,sector,AV,1.00000000,6,32752545041400,0,0.01088000,0.01088000,0.01088000,False,1.00000000
2026-08-12,Industrial,sector,AV,1.00000000,2,30703710882480,0,0.01019940,0.01019940,0.01019940,False,1.00000000
2026-08-12,Real Estate - Commercial,sector,AV,1.00000000,2,29808840803800,0,0.00990214,0.00990214,0.00990214,False,1.00000000
2026-08-12,Real Estate - Industrial,sector,AV,1.00000000,3,24528923472700,0,0.00814821,0.00814821,0.00814821,False,1.00000000
2026-08-12,Oil & Gas,sector,AV,1.00000000,3,23946585169500,0,0.00795477,0.00795477,0.00795477,False,1.00000000
2026-08-12,Chemicals,sector,AV,1.00000000,4,18148449810600,0,0.00602870,0.00602870,0.00602870,False,1.00000000
2026-08-12,Building Materials,sector,AV,1.00000000,3,8934264823250,0,0.00296786,0.00296786,0.00296786,False,1.00000000
2026-08-12,Insurance,sector,AV,1.00000000,1,4958716331200,0,0.00164723,0.00164723,0.00164723,False,1.00000000
2026-08-12,Mining,sector,AV,1.00000000,1,4281661427502,0,0.00142232,0.00142232,0.00142232,False,1.00000000
